Date, Dem_Tarball, Ortho_Tarball, Camera_Tarball, Summary_Tarball, Have_Dem_Previews, Have_Ortho_Previews
20160721, /u/smcmich1/icebridge/output/DEM_GR_20160721_V20171213.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160721_V20171213.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160721_V20171213.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160721_V20171213.tar, True, True
20160719, /u/smcmich1/icebridge/output/DEM_GR_20160719_V20171211.tar, /u/smcmich1/icebridge/ortho/ORTHO_GR_20160719_V20171211.tar, /u/smcmich1/icebridge/camera/CAMERA_GR_20160719_V20171211.tar, /u/smcmich1/icebridge/summaries/SUMMARY_GR_20160719_V20171211.tar, True, True
20170725, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170725_V20180329.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170725_V20180329.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170725_V20180329.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170725_V20180329.tar, True, True
20170724, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170724_V20180329.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170724_V20180329.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170724_V20180329.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170724_V20180329.tar, True, True
20170718, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170718_V20180328.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170718_V20180328.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170718_V20180328.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170718_V20180328.tar, True, True
20170717, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170717_V20180328.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170717_V20180328.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170717_V20180328.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170717_V20180328.tar, True, True
20170309, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170309_V20180323.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170309_V20180323.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170309_V20180323.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170309_V20180323.tar, True, True
20170310, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170310_V20180323.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170310_V20180323.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170310_V20180323.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170310_V20180323.tar, True, True
20170312, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170312_V20180328.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170312_V20180328.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170312_V20180328.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170312_V20180328.tar, True, True
20170314, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170314_V20180326.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170314_V20180326.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170314_V20180326.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170314_V20180326.tar, True, True
20170320, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170320_V20180328.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170320_V20180328.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170320_V20180328.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170320_V20180328.tar, True, True
20170311, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170311_V20180328.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170311_V20180328.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170311_V20180328.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170311_V20180328.tar, True, True
20170322, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170322_V20180330.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170322_V20180330.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170322_V20180330.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170322_V20180330.tar, True, True
20170323, /u/smcmich1/icebridge/oleg_dems/DEM_GR_20170323_V20180329.tar, /u/smcmich1/icebridge/oleg_ortho/ORTHO_GR_20170323_V20180329.tar, /u/smcmich1/icebridge/oleg_cameras/CAMERA_GR_20170323_V20180329.tar, /u/smcmich1/icebridge/oleg_summaries/SUMMARY_GR_20170323_V20180329.tar, True, True
