CampaignName,ReportName,Platform,aircraftID,takeoffdatetime,zone
2009_AK_UAF,OIB_AK_20090822160000_UAF_Report.txt,DHC-3,N226UT,2009-08-22T16:00:00,UTC
2009_AK_UAF,OIB_AK_20090602160000_UAF_Report.txt,DHC-3,N226UT,2009-06-02T16:00:00,UTC
2009_AK_UAF,OIB_AK_20090825160000_UAF_Report.txt,DHC-3,N226UT,2009-08-25T16:00:00,UTC
2009_AK_UAF,OIB_AK_20090820160000_UAF_Report.txt,DHC-3,N226UT,2009-08-20T16:00:00,UTC
2009_AK_UAF,OIB_AK_20090522160000_UAF_Report.txt,DHC-3,N226UT,2009-05-22T16:00:00,UTC
2009_AK_UAF,OIB_AK_20090826160000_UAF_Report.txt,DHC-3,N226UT,2009-08-26T16:00:00,UTC
2009_AK_UAF,OIB_AK_20090906016000_UAF_Report.txt,DHC-3,N226UT,2009-09-06T16:00:00,UTC
2009_AK_UAF,OIB_AK_20090819160000_UAF_Report.txt,DHC-3,N226UT,2009-08-19T16:00:00,UTC
2009_AK_UAF,OIB_AK_20090523160000_UAF_Report.txt,DHC-3,N226UT,2009-05-23T16:00:00,UTC
2009_AN_NASA,OIB_AN_20091018114700_NASA_Report.txt,DC-8,N817NA,2009-10-18T11:47:00,UTC
2009_AN_NASA,OIB_AN_20091024115500_NASA_Report.txt,DC-8,N817NA,2009-10-24T11:55:00,UTC
2009_AN_NASA,OIB_AN_20091118120316_NASA_Report.txt,DC-8,N817NA,2009-11-18T12:03:16,UTC
2009_AN_NASA,OIB_AN_20091020114900_NASA_Report.txt,DC-8,N817NA,2009-10-20T11:49:00,UTC
2009_AN_NASA,OIB_AN_20091115132900_NASA_Report.txt,DC-8,N817NA,2009-11-15T13:29:00,UTC
2009_AN_NASA,OIB_AN_20091030123300_NASA_Report.txt,DC-8,N817NA,2009-10-30T12:33:00,UTC
2009_AN_NASA,OIB_AN_20091025124000_NASA_Report.txt,DC-8,N817NA,2009-10-25T12:40:00,UTC
2009_AN_NASA,OIB_AN_20091028121100_NASA_Report.txt,DC-8,N817NA,2009-10-28T12:11:00,UTC
2009_AN_NASA,OIB_AN_20091103135402_NASA_Report.txt,DC-8,N817NA,2009-11-03T13:54:02,UTC
2009_AN_NASA,OIB_AN_20091109170300_NASA_Report.txt,DC-8,N817NA,2009-11-09T17:03:00,UTC
2009_AN_NASA,OIB_AN_20090917000000_NASA_Report.txt,DC-8,N817NA,9/17/09,
2009_AN_NASA,OIB_AN_20091102131702_NASA_Report.txt,DC-8,N817NA,2009-11-02T13:17:02,UTC
2009_AN_NASA,OIB_AN_20091029115500_NASA_Report.txt,DC-8,N817NA,2009-10-29T11:55:00,UTC
2009_AN_NASA,OIB_AN_20091104141414_NASA_Report.txt,DC-8,N817NA,2009-11-04T14:14:14,UTC
2009_AN_NASA,OIB_AN_20091031115400_NASA_Report.txt,DC-8,N817NA,2009-10-31T11:54:00,UTC
2009_AN_NASA,OIB_AN_20091021125501_NASA_Report.txt,DC-8,N817NA,2009-10-21T12:55:01,UTC
2009_AN_NASA,OIB_AN_20091105131400_NASA_Report.txt,DC-8,N817NA,2009-11-05T13:14:00,UTC
2009_AN_NASA,OIB_AN_20091016121100_NASA_Report.txt,DC-8,N817NA,2009-10-16T12:11:00,UTC
2009_AN_NASA,OIB_AN_20091002185741_NASA_Report.txt,DC-8,N817NA,2009-10-02T18:57:41,UTC
2009_AN_NASA,OIB_AN_20091012060809_NASA_Report.txt,DC-8,N817NA,2009-10-12T06:08:09,UTC
2009_AN_NASA,OIB_AN_20091123123000_NASA_Report.txt,DC-8,N817NA,2009-11-23T12:30:00,UTC
2009_AN_NASA,OIB_AN_20091116160814_NASA_Report.txt,DC-8,N817NA,2009-11-16T16:08:14,UTC
2009_AN_NASA,OIB_AN_20091027115933_NASA_Report.txt,DC-8,N817NA,2009-10-27T11:59:33,UTC
2009_AN_NASA,OIB_AN_20091112140927_NASA_Report.txt,DC-8,N817NA,2009-11-12T14:09:27,UTC
2009_AN_NASA,OIB_AN_20091013153726_NASA_Report.txt,DC-8,N817NA,2009-10-13T15:37:26,UTC
